"","wkt_words"
"1445","çelenk"
"1446","çelik"
"1447","çelikhane"
"1448","çeliþki"
"1449","çello"
"1450","çeltik"
"1451","çember"
"1452","çemen"
"1453","çene"
"1454","çeng"
"1455","çenk"
"1456","çerçeve"
"1457","çerçi"
"1458","çerez"
"1459","çeri"
"1460","çeþit"
"1461","çeþitleme"
"1462","çeþme"
"1463","çeþni"
"1464","çete"
"1465","çeviri"
"1466","çevirim"
"1467","çevirme dili"
"1468","çevirmen"
"1469","çevre"
"1470","çevreci"
"1471","çevrecilik"
"1472","çevrim"
"1473","çeyiz"
"1474","çeyrek"
"1475","çýban"
"1476","çýçýrgan"
"1477","çýfýt"
"1478","Çýfýt"
"1479","çýð"
"1480","çýðýrtkan"
"1481","çýðýrtkanlýk"
"1482","çýðlýk"
"1483","çýkar"
"1484","çýkarcý"
"1485","çýkarcýlýk"
"1486","çýkarým"
"1487","çýkýþ"
"1488","çýkma"
"1489","çýkma durumu"
"1490","çýkma hali"
"1491","çýkma hâli"
"1492","çýkmaz sokak"
"1493","çýktý"
"1494","çýl"
"1495","çýlgýn"
"1496","çýlgýnlýk"
"1497","çýnar"
"1498","çýngý"
"1499","çýngýrak"
"1500","çýpa"
"1501","çýplaklýk"
"1502","çýra"
"1503","çýrak"
"1504","çýraklýk"
"1505","çýrban"
"1506","çýt"
"1507","çýtýr"
"1508","çiçe"
"1509","çiçek"
"1510","çiçek tozu"
"1511","çiçekçi"
"1512","çiçekçilik"
"1513","çiçeklik"
"1514","çiçili"
"1515","çift"
"1516","çift sayý"
"1517","çiftçi"
"1518","çifte"
"1519","çifte standart"
"1520","çiftetelli"
"1521","çiftleþme"
"1522","çiftlik"
"1523","çið"
"1524","çiðdem"
"1525","çiðin"
"1526","çiðit"
"1527","çikolata"
"1528","çikolatacý"
"1529","çikolatacýlýk"
"1530","çil"
"1531","çilek"
"1532","çilekçi"
"1533","çilekçilik"
"1534","çilingir"
"1535","çim"
"1536","çimdik"
"1537","çimdikleme"
"1538","çimdiklememe"
"1539","çimen"
"1540","çimento"
"1541","çimerlik"
"1542","çimke"
"1543","Çin çöl kedisi"
"1544","Çin dað kedisi"
"1545","Çingene pembesi"
"1546","çinko"
"1547","Çinli"
"1548","çip"
"1549","çipura"
"1550","çir"
"1551","çirað"
"1552","çirkinlik"
"1553","çiroz"
"1554","çiseleme"
"1555","çiþ"
"1556","çit"
"1557","çita"
"1558","çivi"
"1559","çivit"
"1560","çiy"
"1561","çiy noktasý"
"1562","çizburger"
"1563","çizgi"
"1564","çizgili sinek"
"1565","çizme"
"1566","çizmeci"
"1567","ÇNRA"
"1568","çoban"
"1569","çoban yýldýzý"
"1570","çobanaldatan"
"1571","çocuk"
"1572","çocuk asker"
"1573","çocuk oyuncaðý"
"1574","çocukluk"
"1575","çocuksuzluk"
"1576","çoðul"
"1577","çoðunluk"
"1578","çok tanrýcýlýk"
"1579","çok yüksek frekans"
"1580","çokdillilik"
"1581","çokgen"
"1582","çoklu kalýtým"
"1583","çoktan seçmeli soru"
"1584","çolak"
"1585","çolpan"
"1586","çoluk çocuk"
"1587","çorap"
"1588","çorba"
"1589","çoros"
"1590","çotra"
"1591","çökelek"
"1592","çökelti"
"1593","çökerti"
"1594","çöküntü"
"1595","çöl"
"1596","çöl koþarý"
"1597","çömçe"
"1598","çömez"
"1599","çöngül"
"1600","çöp"
"1601","çöp adam"
"1602","çöp arabasý"
"1603","çöpçatan"
"1604","çöpçatanlýk"
"1605","çöpçü"
"1606","çöpçülük"
"1607","çörek"
"1608","çörten"
"1609","çözelti"
"1610","çözüm"
"1611","çubuk"
"1612","çubuklu sarmal galaksi"
"1613","çubuklu sarmal gök ada"
"1614","çufçuf"
"1615","çuð"
"1616","çukur"
"1617","çulluk"
"1618","çupra"
"1619","çupra balýðý"
"1620","çuval"
"1621","çürüme"
"1622","dabak"
"1623","dadaþ"
"1624","dadý"
"1625","dað"
"1626","dað çileði"
"1627","daðcý"
"1628","daðcýlýk"
"1629","daðýl"
"1630","daðýlma"
"1631","daðýtýcý"
"1632","daðýtým"
"1633","daðlý"
"1634","dahil"
"1635","daire"
"1636","dakika"
"1637","daktilo"
"1638","dal"
"1639","dalak"
"1640","dalalet"
"1641","dalga"
"1642","dalga bandý"
"1643","dalgýç"
"1644","dalgýnlýk"
"1645","dallýk"
"1646","dalma"
"1647","dam"
"1648","damacana"
"1649","damak"
"1650","damar"
"1651","damat"
"1652","damatlýk"
"1653","damga"
"1654","damgacý"
"1655","damgacýlýk"
"1656","damla"
"1657","damlacýk"
"1658","damper"
"1659","damping"
"1660","dana"
"1661","danýþma"
"1662","danýþman"
"1663","dans"
"1664","dansçý"
"1665","dansör"
"1666","dansöz"
"1667","dar"
"1668","dar sokak"
"1669","dara"
"1670","daraðacý"
"1671","daraka"
"1672","darbe"
"1673","darbuka"
"1674","darý"
"1675","dari"
"1676","darp"
"1677","daru"
"1678","Darvincilik"
"1679","Darvinizm"
"1680","daþd"
"1681","datif"
"1682","dava"
"1683","davacý"
"1684","davar"
"1685","davet"
"1686","davetçi"
"1687","davetiye"
"1688","davranýþ"
"1689","davranýþçýlýk"
"1690","davul"
"1691","dayak"
"1692","dayanýklýlýk"
"1693","dayanma gücü"
"1694","dayý"
"1695","dayýlýk"
"1696","de"
"1697","debriyaj"
"1698","dedantör"
"1699","dede"
"1700","dedektif"
"1701","dedelik"
"1702","dedikodu"
"1703","dedikoducu"
"1704","dedüksiyon"
"1705","defa"
"1706","defans"
"1707","defibratör"
"1708","defin"
"1709","definasyon"
"1710","define"
"1711","definisyon"
"1712","deflasyon"
"1713","defne"
"1714","defo"
"1715","deformasyon"
"1716","defosforilasyon"
"1717","defter"
"1718","defterci"
"1719","defterdar"
"1720","deðer"
"1721","deðil"
"1722","deðin"
"1723","deðirmen"
"1724","deðiþeç"
"1725","deðiþiklik"
"1726","deðiþim"
"1727","deðiþken"
"1728","deðiþmez"
"1729","deðnek"
"1730","dehalet"
"1731","dehþet"
"1732","deist"
"1733","deizm"
"1734","dejavu"
"1735","dejenerasyon"
"1736","dejenere"
"1737","dekar"
"1738","deklanþör"
"1739","deklarasyon"
"1740","dekolonizasyon"
"1741","dekolte"
"1742","dekontaminasyon"
"1743","dekor"
"1744","dekorasyon"
"1745","dekoratör"
"1746","delegasyon"
"1747","delege"
"1748","delik"
"1749","delikanlý"
"1750","delil"
"1751","delilik"
"1752","deltoid"
"1753","dem"
"1754","demans"
"1755","deme"
"1756","demet"
"1757","Demeter Yasasý"
"1758","Demeter yasasý"
"1759","demir"
"1760","demir perde"
"1761","demir yolu"
"1762","demirci"
"1763","demografi"
"1764","demokrasi"
"1765","demokrat"
"1766","demokratik sosyalizm"
"1767","demonstrasyon"
"1768","demoralizasyon"
"1769","denden"
"1770","dendrokronoloji"
"1771","dendrolog"
"1772","dendroloji"
"1773","dene"
"1774","deneme"
"1775","denemeci"
"1776","denet"
"1777","denetçi"
"1778","deney"
"1779","deney tüpü"
"1780","deneyim"
"1781","denge"
"1782","denim"
"1783","deniz"
"1784","deniz feneri"
"1785","deniz kabuðu"
"1786","deniz kýzý"
"1787","deniz minaresi"
"1788","deniz þortu"
"1789","deniz ürünü"
"1790","denizaltý"
"1791","denizanasý"
"1792","denizaslaný"
"1793","denizatý"
"1794","denizyýldýzý"
"1795","denk"
"1796","denklem"
"1797","denominasyon"
"1798","deoksiribonükleik asit"
"1799","deplasman"
"1800","depo"
"1801","depolitizasyon"
"1802","deportasyon"
"1803","depozito"
"1804","deprem"
"1805","depresyon"
"1806","dere"
"1807","derece"
"1808","dergi"
"1809","deri"
"1810","dericilik"
"1811","derin deniz"
"1812","derin devlet"
"1813","derleme"
"1814","derleyici"
"1815","derman"
"1816","derme"
"1817","dernek"
"1818","derogasyon"
"1819","ders"
"1820","dershane"
"1821","dert"
"1822","derviþ"
"1823","derya"
"1824","desen"
"1825","desen dili"
"1826","desibel"
"1827","desinatör"
"1828","destabilizasyon"
"1829","destan"
"1830","destek"
"1831","destere"
"1832","destinasyon"
"1833","destroyer"
"1834","deþarj"
"1835","detant"
"1836","detay"
"1837","deterjan"
"1838","determinizm"
"1839","dev"
"1840","devalüasyon"
"1841","devam"
"1842","devam etme"
"1843","deve"
"1844","deve kuþu"
"1845","deveci"
"1846","developman"
"1847","devingenlik"
"1848","devinim"
"1849","devir"
"1850","devlet"
"1851","devlet okulu"
"1852","devre"
"1853","devre açýcý-kesici"
"1854","devrim"
"1855","devriye"
"1856","devþirme"
"1857","deyim"
"1858","deyin"
"1859","deyn"
"1860","dezavantaj"
"1861","dezenfektan"
"1862","dezenformasyon"
"1863","dezentegrasyon"
"1864","dýlak"
"1865","dýþ"
"1866","dýþ að"
"1867","dýþ gezegen"
"1868","dýþ iskelet"
"1869","dýþarý"
"1870","dýþbükey açý"
"1871","dýþbükey dörtgen"
"1872","dýþký"
"1873","Reconstruction:Turkish/dýz"
"1874","dýzcý"
"1875","dibek"
"1876","diferansiyel"
"1877","diferansiyel denklem"
"1878","difteri"
"1879","diftong"
"1880","difüzyon"
"1881","dik üçgen"
"1882","dikdörtgen"
"1883","diken"
"1884","dikiþ"
"1885","dikkat"
"1886","diksiyon"
"1887","diktatör"
"1888","diktatörlük"
"1889","dikte"
"1890","dikuçar"
"1891","dil"
"1892","dil balýðý"
"1893","dil basacaðý"
"1894","dil bilgisi"
"1895","dil bilimi"
"1896","dilatasyon"
"1897","dilber"
"1898","dilbilim"
"1899","dilbilimci"
"1900","dildo"
"1901","dilek"
"1902","dilemma"
"1903","dilenci"
"1904","dilenci vapuru"
"1905","dilim"
"1906","dilmaç"
"1907","dilsiz"
"1908","dilsizlik"
"1909","din"
"1910","dinamik"
"1911","dinamit"
"1912","dinçlik"
"1913","dindarlýk"
"1914","dingil"
"1915","dingo"
"1916","dinleme"
"1917","dinlenme"
"1918","dinlenmeme"
"1919","dinleti"
"1920","dinlilik"
"1921","dinozor"
"1922","dinsizlik"
"1923","dioksit"
"1924","dip"
"1925","dipçik"
"1926","diplomasi"
"1927","diplomat"
"1928","dirayet"
"1929","direk"
"1930","direksiyon"
"1931","direktör"
"1932","diriliþ"
"1933","dirim"
"1934","dirim bilimci"
"1935","dirim bilimi"
"1936","dirsek"
"1937","disiplin"
"1938","disket"
"1939","disko"
"1940","diskografi"
"1941","diskotek"
"1942","disleksi"
"1943","dispanser"
"1944","disprosyum"
"1945","disprozyum"
"1946","distorsiyon"
"1947","distribütör"
"1948","diþ"
"1949","diþ aðrýsý"
"1950","diþ eti"
"1951","diþ fýrçasý"
"1952","diþ ipi"
"1953","diþ macunu"
"1954","diþbudak"
"1955","diþçi"
"1956","diþi"
"1957","diþlek"
"1958","diþleklik"
"1959","diþli"
"1960","ditme"
"1961","dival"
"1962","divan"
"1963","diyabaz"
"1964","diyabet"
"1965","diyabetolog"
"1966","diyabetoloji"
"1967","diyakroni"
"1968","diyalaj"
"1969","diyalekt"
"1970","diyalektik materyalizm"
"1971","diyaliz"
"1972","diyalog"
"1973","diyapazon"
"1974","diyar"
"1975","diyaspora"
"1976","diyet"
"1977","diyoptri"
"1978","diz"
"1979","diz kapaðý"
"1980","dizayn"
"1981","dize"
"1982","dizel"
"1983","dizem"
"1984","dizi"
"1985","dizin"
"1986","dizlik"
"1987","dizüstü"
"1988","DNA"
"1989","do"
"1990","doçent"
"1991","doða"
"1992","doðal sayý"
"1993","doðal seçilim"
"1994","doðan"
"1995","doðruculuk"
"1996","doðruluk"
"1997","doðu"
"1998","doðum"
"1999","doðum günü"
"2000","doðum kontrolü"
"2001","dok"
"2002","doktor"
"2003","doktorluk"
"2004","doktrin"
"2005","doku"
"2006","doku uyuþmazlýðý"
"2007","dokuma"
"2008","dokunca"
"2009","dokunmatik ekran"
"2010","dokunuþ"
"2011","dokunut"
"2012","dokuzgen"
"2013","dokuztaþ"
"2014","dokuzunculuk"
"2015","doküman"
"2016","dokümantasyon"
"2017","dolandýrýcý"
"2018","dolandýrýcýlýk"
"2019","dolap"
"2020","dolapçý"
"2021","dolar"
"2022","dolaþým sistemi"
"2023","dolmuþ"
"2024","dolu"
"2025","dolu tanesi"
"2026","dolunay"
"2027","domalan"
"2028","domates"
"2029","domuz"
"2030","domuz gribi"
"2031","domuz pastýrmasý"
"2032","don"
"2033","donaným"
"2034","donaným tanýmlama dili"
"2035","donaným yazýlýmý"
"2036","donatým"
"2037","dondurma"
"2038","dondurmacý"
"2039","dongu"
"2040","donma"
"2041","donör"
"2042","doping"
"2043","doruk"
"2044","dost"
"2045","dostluk"
"2046","dostluk maçý"
"2047","dosya"
"2048","doz"
"2049","dozaj"
"2050","dökme"
"2051","dökmeci"
"2052","dölek"
"2053","dömifinal"
"2054","döndürme"
"2055","dönem"
"2056","dönence"
"2057","döner"
"2058","döner kebap"
"2059","dönerci"
"2060","dönercilik"
"2061","döngel"
"2062","Dönme"
"2063","dönme"
"2064","dönme dolap"
"2065","dönüþ"
"2066","dönüþtürme"
"2067","dönüþtürücü"
"2068","dönüþüm"
"2069","dördüncü hakem"
"2070","dördüncülük"
"2071","dörtgen"
"2072","dörtlük"
"2073","dörtnal"
"2074","döþek"
"2075","dövme"
"2076","dövme sanatçýsý"
"2077","dövüþ"
"2078","dövüþçü"
"2079","dövüþme"
"2080","drahmi"
"2081","drahoma"
"2082","draje"
"2083","dua"
"2084","dublaj"
"2085","dublör"
"2086","dubniyum"
"2087","dudak"
"2088","dudak parlatýcýsý"
"2089","dudu"
"2090","duhul"
"2091","duka"
"2092","dukalýk"
"2093","dul"
"2094","dulluk"
"2095","dumaðý"
"2096","duman"
"2097","dumur"
"2098","duraç"
"2099","durak"
"2100","durian"
"2101","durma"
"2102","duruk"
"2103","durum"
"2104","duruþma"
"2105","duþ"
"2106","duþ jeli"
"2107","duþak"
"2108","Duþanbeli"
"2109","dut"
"2110","duvak"
"2111","duvar"
"2112","duy"
"2113","duygu"
"2114","duygusallýk"
"2115","duyma"
"2116","duymama"
"2117","duyu"
"2118","duyu-dil programlama"
"2119","duyuru"
"2120","düalizm"
"2121","dübel"
"2122","düdük"
"2123","düello"
"2124","düet"
"2125","düðme"
"2126","düðüm"
"2127","düðün"
"2128","düðün pastasý"
"2129","dük"
"2130","düka"
"2131","dükkan"
"2132","dükkân"
"2133","düklük"
"2134","düldül"
"2135","dülger"
"2136","dümen"
"2137","dünit"
"2138","dünür"
"2139","dünya"
"2140","dünyanýn en eski iþi"
"2141","dünyanýn en eski mesleði"
"2142","dürbün"
"2143","dürüm"
"2144","dürüstlük"
"2145","düstur"
"2146","düþ"
"2147","düþ dünyasý"
"2148","düþes"
"2149","düþey asimptot"
"2150","düþman"
"2151","düþme"
"2152","düþünce"
"2153","düþüncecilik"
"2154","düþünür"
"2155","düt"
"2156","düve"
"2157","düzeltme"
"2158","düzen"
"2159","düzenleme"
"2160","düzenlenebilirlik"
"2161","düzey"
"2162","düzine"
"2163","düzlem"
"2164","DVD"
"2165","DVD oynatýcýsý"
"2166","dâhi"
"2167","dâhil"
"2168","e"
"2169","e-posta"
"2170","ebe"
"2171","ebedilik"
"2172","ebediyet"
"2173","ebeveyn"
"2174","ebob"
"2175","ebru"
"2176","ecdat"
"2177","ece"
"2178","ecel"
"2179","ecnebi"
"2180","ecza"
"2181","eczane"
"2182","edat"
"2183","edebiyat"
"2184","edebiyatçý"
"2185","edisyon"
"2186","editör"
"2187","efe"
"2188","efekt"
"2189","efendi"
"2190","efkâr"
"2191","efrat"
"2192","efsane"
"2193","efsun"
"2194","efsuncu"
"2195","ego"
"2196","egoist"
"2197","egoizm"
"2198","egzersiz"
"2199","egzistans"
"2200","egzistansiyalist"
"2201","egzotizm"
"2202","egzoz"
"2203","eðe"
"2204","eðirmen"
"2205","eðitim"
"2206","eðitim bakanlýðý"
"2207","eðitmenlik"
"2208","eðlence"
"2209","eðrelti"
"2210","eðri"
"2211","ehemmiyet"
"2212","ehemmiyetlilik"
"2213","ehemmiyetsizlik"
"2214","ehliyet"
"2215","ejakülasyon"
"2216","ejder"
"2217","ejderha"
"2218","ek"
"2219","ekalliyet"
"2220","ekilibrasyon"
"2221","ekim"
"2222","ekin"
"2223","ekinezya"
"2224","ekinoks"
"2225","ekip"
"2226","ekipman"
"2227","eklektizm"
"2228","ekler"
"2229","ekliptik"
"2230","ekmek"
"2231","ekmekçi"
"2232","ekok"
"2233","ekol"
"2234","ekolali"
"2235","ekonomi"
"2236","ekonomist"
"2237","ekran"
"2238","eksantrisite"
"2239","eksen"
"2240","ekser"
"2241","ekseriyet"
"2242","eksi"
"2243","eksiklik"
"2244","eksiltme"
"2245","eksklav"
"2246","eksper"
"2247","eksperyans"
"2248","ekspoze"
"2249","ekspres"
"2250","ekspresyon"
"2251","ekstremum"
"2252","ekþi"
"2253","ekümenizm"
"2254","el"
"2255","el çantasý"
"2256","el feneri"
"2257","el gün"
"2258","el kremi"
"2259","El Niño"
"2260","ela"
"2261","elbise"
"2262","elçi"
"2263","elçilik"
"2264","eldiven"
"2265","elek"
"2266","elekçi"
"2267","elekçilik"
"2268","elektrifikasyon"
"2269","elektrik"
"2270","elektrik mühendisliði"
"2271","elektrik santrali"
"2272","elektrik-elektronik mühendisliði"
"2273","elektrikçi"
"2274","elektrikçilik"
"2275","elektrikli sandalye"
"2276","elektromanyetik enerji"
"2277","elektromanyetik etkileþim"
"2278","elektromanyetik kuvvet"
"2279","elektromanyetizma"
"2280","elektron"
"2281","elektronik"
"2282","elektronik mühendisliði"
"2283","elektronik posta"
"2284","eleman"
"2285","element"
"2286","eleþtiri"
"2287","eleþtirim"
"2288","elif"
"2289","elifbe"
"2290","eliminasyon"
"2291","elips"
"2292","elitist"
"2293","elitizm"
"2294","elma"
"2295","elma suyu"
"2296","elma þekeri"
"2297","elmacý"
"2298","elmas"
"2299","elti"
"2300","emanasyon"
"2301","emanet"
"2302","embesil"
"2303","embriyo"
"2304","emek"
"2305","emekli"
"2306","emektaþlýk"
"2307","emetik"
"2308","emetofobi"
"2309","emir"
"2310","emirlik"
"2311","emisyon"
"2312","emlak"
"2313","emlakçý"
"2314","emlakçýlýk"
"2315","emlik"
"2316","emmi"
"2317","emniyet"
"2318","emniyet kemeri"
"2319","emniyet supabý"
"2320","emoji"
"2321","empedans"
"2322","empermeabl"
"2323","emperyalizm"
"2324","empotans"
"2325","empresyon"
"2326","emprovizasyon"
"2327","emrivaki"
"2328","emsal"
"2329","emülgatör"
"2330","en"
"2331","en büyük ortak bölen"
"2332","en küçük ortak kat"
"2333","enayi"
"2334","encumen"
"2335","endeks"
"2336","endikasyon"
"2337","endiþe"
"2338","endokrin sistem"
"2339","endoplazmik retikulum"
"2340","endüstri"
"2341","enerji"
"2342","enfarktüs"
"2343","enfeksiyon"
"2344","enferans"
"2345","enflamasyon"
"2346","enflasyon"
"2347","enformasyon"
"2348","enfrastrüktür"
"2349","engel"
"2350","engerek"
"2351","engin"
"2352","enginar"
"2353","engizisyon"
"2354","enik"
"2355","eniþte"
"2356","enjeksiyon"
"2357","enjektör"
"2358","enkarnasyon"
"2359","enkaz"
"2360","ensest"
"2361","enstalasyon"
"2362","enstantane"
"2363","enstitü"
"2364","enstrüman"
"2365","enstrümantal"
"2366","entegrasyon"
"2367","entelekt"
"2368","entelijans"
"2369","entelijansiya"
"2370","enteriyör"
"2371","enterpretasyon"
"2372","entomoloji"
"2373","entonasyon"
"2374","entrika"
"2375","envanter"
"2376","envestisman"
"2377","enzim"
"2378","epe"
"2379","epilasyon"
"2380","epistemoloji"
"2381","eppek"
"2382","er"
"2383","eradikasyon"
"2384","erbiyum"
"2385","erdem"
"2386","erdemlilik"
"2387","erek"
"2388","erek bilimi"
"2389","ereksiyon"
"2390","ergen"
"2391","ergenlik"
"2392","erik"
"2393","erim"
"2394","erime"
"2395","eriyik"
"2396","erk"
"2397","erke"
"2398","erkecel"
"2399","erkecey"
"2400","erkek"
"2401","erkek ismi"
"2402","erkeklik"
"2403","erkeklik organ"
"2404","erkenek"
"2405","erkân"
"2406","erkânýharbiye"
"2407","ernek"
"2408","eroin"
"2409","erojen bölge"
"2410","erte"
"2411","esans"
"2412","esaret"
"2413","esas"
"2414","esef"
"2415","esenlik"
"2416","eser"
"2417","esham"
"2418","esin"
"2419","esir"
"2420","esirlik"
"2421","eskalasyon"
"2422","eski"
"2423","esmer"
"2424","esnaf"
"2425","esneklik"
"2426","espiyonaj"
"2427","espri"
"2428","esrar"
"2429","esrarkeþ"
"2430","estelik"
"2431","estetik"
"2432","eþ"
"2433","eþ cinsel"
"2434","eþ cinsellik"
"2435","eþanjör"
"2436","eþantiyon"
"2437","eþcinsel"
"2438","eþcinsellik"
"2439","eþek"
"2440","eþek arýsý"
"2441","eþek þakasý"
"2442","eþik"
"2443","eþitsizlik"
"2444","eþkenar dörtgen"
"2445","eþkenar üçgen"
"2446","eþkýya"
"2447","eþlik"
"2448","eþofman"
"2449","eþsizlik"
"2450","eþþek"
"2451","eþya"
"2452","eþzamanlý dönüþ"
"2453","et"
"2454","et sineði"
"2455","etajer"
"2456","etanol"
"2457","etap"
"2458","etek"
"2459","eter"
"2460","etik"
"2461","etiket"
"2462","etimoloji"
"2463","Etiyopyalý"
"2464","etki"
"2465","etkililik"
"2466","etkin galaktik çekirdek"
"2467","etkinlik"
"2468","etme"
"2469","etmen"
"2470","etnik köken"
"2471","etnik temizlik"
"2472","etnogenez"
"2473","etraf"
"2474","ev"
"2475","evcik"
"2476","evcikkýran"
"2477","evcil sinek"
"2478","eviye"
"2479","evkaf"
"2480","evlat"
"2481","evlatlýk"
"2482","evlenme"
"2483","evlilik"
"2484","evliya"
"2485","evolüsyon"
"2486","evrak"
"2487","evre"
"2488","evren"
"2489","evrenkent"
"2490","evrensel deðiþken"
"2491","evrim"
"2492","evropiyum"
"2493","evsizlik"
"2494","evvel"
"2495","eyalet"
"2496","eyer"
"2497","eyerci"
"2498","eyercilik"
"2499","eylem"
"2500","eylemci"
"2501","eylemcilik"
"2502","eylül"
"2503","eyvallah"
"2504","eza cefa"
"2505","ezan"
"2506","ezel"
"2507","ezgil"
"2508","ezik"
"2509","eziyet"
"2510","eziyetçi"
"2511","eziyetçilik"
"2512","faaliyet"
"2513","fabrika"
"2514","fabrikasyon"
"2515","facia"
"2516","façeta"
"2517","fagofobi"
"2518","fagot"
"2519","fahiþe"
"2520","fahiþelik"
"2521","fail"
"2522","faiz"
"2523","fakbadi"
"2524","fakir"
"2525","fakir fukara"
"2526","faks"
"2527","faks makinesi"
"2528","faksimile"
"2529","faktitif"
"2530","faktör"
"2531","faktöriyel"
"2532","fakülte"
"2533","fal"
"2534","falaka"
"2535","falan"
"2536","falcý"
"2537","falez"
"2538","familya"
"2539","fanila"
"2540","fantezi"
"2541","fanus"
"2542","far"
"2543","fare"
"2544","fark"
"2545","farmason"
"2546","fasýk"
"2547","fason"
"2548","fasone"
"2549","fasulya"
"2550","fasulye"
"2551","faþist"
"2552","faþizm"
"2553","fatalite"
"2554","fatih"
"2555","fatura"
"2556","favori"
"2557","fay"
"2558","fayans"
"2559","fayda"
"2560","fayton"
"2561","faz"
"2562","fazlalýk"
"2563","fe"
"2564","fedakârlýk"
"2565","federasyon"
"2566","fehim"
"2567","fek"
"2568","felaket"
"2569","felç"
"2570","felek"
"2571","felsefe"
"2572","felsefeci"
"2573","felâket"
"2574","feminizm"
"2575","fen"
"2576","fener"
"2577","fenerci"
"2578","feribot"
"2579","fermantasyon"
"2580","fermuar"
"2581","ferraþ"
"2582","fert"
"2583","fes"
"2584","fesad"
"2585","fesih"
"2586","fesleðen"
"2587","festival"
"2588","fetih"
"2589","fetiþ"
"2590","fetva"
"2591","feveran"
"2592","feyk"
"2593","fýçý"
"2594","fýkra"
"2595","fýndýk"
"2596","fýrça"
"2597","fýrýn"
"2598","fýrýn eldiveni"
"2599","fýrýncý"
"2600","fýrýncýlýk"
"2601","fýrka"
"2602","fýrkateyn"
"2603","fýrsat"
"2604","fýrtýna"
"2605","fýstýk"
"2606","fýstýk ezmesi"
"2607","fýtýk"
"2608","fiat"
"2609","Fibonacci dizisi"
"2610","Fibonacci sayýsý"
"2611","fibrinojen"
"2612","fidan"
"2613","figür"
"2614","figüran"
"2615","fihrist"
"2616","fiil"
"2617","fiilimsi"
"2618","fikir"
"2619","fikircilik"
"2620","fikoloji"
"2621","fil"
"2622","fildiþi"
"2623","filigran"
"2624","filika"
"2625","filiz"
"2626","film"
"2627","filo"
"2628","filozof"
"2629","final"
"2630","final sýnýf"
"2631","fincan"
"2632","finiþ"
"2633","firari"
"2634","firaþ"
"2635","firavun"
"2636","fire"
"2637","firma"
"2638","fiske"
"2639","fiþ"
"2640","fiþek"
"2641","fitil"
"2642","fiyasko"
"2643","fiyat"
"2644","fizik"
"2645","fizikçi"
"2646","fizyoloji"
"2647","flaþ"
"2648","flor"
"2649","flöre"
"2650","flüktüasyon"
"2651","fobofobi"
"2652","foga"
"2653","fok"
"2654","folklor"
"2655","folluk"
"2656","fondöten"
"2657","fonksiyon"
"2658","forka"
"2659","form"
"2660","formalite"
"2661","formül"
"2662","fortçu"
"2663","fortçuluk"
"2664","forumdaþ"
"2665","fosfor"
"2666","fosil"
"2667","foto"
"2668","fotofiniþ"
"2669","fotoðraf"
"2670","fotoðrafçý"
"2671","fotoðrafçýlýk"
"2672","fotokopi"
"2673","fötr"
"2674","fragman"
"2675","fraksiyon"
"2676","frambuaz"
"2677","fransiyum"
"2678","frekans"
"2679","fren"
"2680","fren kuvveti"
"2681","frenden"
"2682","frengi"
"2683","frenk üzümü"
"2684","fresk"
"2685","freze"
"2686","frijider"
"2687","frikik"
"2688","friksiyon"
"2689","frizbi"
"2690","fuar"
"2691","fuckbuddy"
"2692","fukara"
"2693","fulya"
"2694","funda"
"2695","futbol"
"2696","futbolcu"
"2697","futbolculuk"
"2698","futsal"
"2699","füniküler"
"2700","fünye"
"2701","fütürizm"
"2702","füze"
"2703","gadolinyum"
"2704","gaf"
"2705","gaflet"
"2706","gaga"
"2707","Gagavuz"
"2708","galaksi"
"2709","Galata"
"2710","Galce"
"2711","galeri"
"2712","galeta"
"2713","galip"
"2714","Gallerli"
"2715","galon"
"2716","galoþ"
"2717","galyum"
"2718","gam"
"2719","gamalý haç"
"2720","gambot"
"2721","gamet"
"2722","gancelli"
"2723","gangava"
"2724","gangavacý"
"2725","gar"
"2726","garaj"
"2727","garanti"
"2728","gardaþ"
"2729","gardiyan"
"2730","gargara"
"2731","garip"
"2732","garnitür"
"2733","garnizon"
"2734","garp"
"2735","garplý"
"2736","garson"
"2737","gastroözofageal reflü"
"2738","gaströzofageal reflü"
"2739","gav"
"2740","gavat"
"2741","gayda"
"2742","gaydacý"
"2743","gaye"
"2744","gayn"
"2745","gayret"
"2746","gayrimenkul"
"2747","gayzer"
"2748","gaz"
"2749","gazel"
"2750","gazete"
"2751","gazete kupürü"
"2752","gazeteci"
"2753","gazino"
"2754","gazoz"
"2755","ge"
"2756","gebelik"
"2757","gece"
"2758","gece yarýsý"
"2759","gecekondu"
"2760","gecelik"
"2761","geçid"
"2762","geçiþ"
"2763","geçiþli eylem"
"2764","geçiþli fiil"
"2765","geçiþsiz eylem"
"2766","geçiþsiz fiil"
"2767","geçit"
"2768","geçme"
"2769","geçmiþ"
"2770","geçmiþ zaman"
"2771","gedik"
"2772","gedmen"
"2773","gefirofobi"
"2774","gelecek"
"2775","gelecek zaman"
"2776","gelen giden"
"2777","gelenek"
"2778","geleneksel Çin týbbý"
"2779","gelgit"
"2780","gelgit dalgasý"
"2781","gelin"
"2782","gelincik"
"2783","gelinlik"
"2784","gelir"
"2785","geliþme"
"2786","geliþmeme"
"2787","geliþtirici"
"2788","geliþtirme"
"2789","gelme"
"2790","gemi"
"2791","gemici"
"2792","gen"
